Iteracija,Korak,Vloga (kdo),Trajanje (h),Cakanje (h),Tip aktivnosti (VA/NVA),Napake (st)
1,Priprava 3D modela implantata,Raziskovalec,0.93,0.0,VA,0
1,Pošiljanje modela v pregled,Raziskovalec,0.04,0.0,NVA,0
1,Čakanje na odobritev,Vodja laboratorija,0.0,2.7,NVA,1
1,Priprava tiskalnika in materiala,Raziskovalec,0.33,0.05,VA,0
1,Čakanje na prost tiskalnik,Raziskovalec,0.0,0.76,NVA,0
1,3D tisk,Raziskovalec / tiskalnik,2.15,0.0,VA,0
1,Hlajenje modela,—,0.0,0.79,NNVA,0
1,Odstranjevanje podpornih struktur,Raziskovalec,0.33,0.04,VA,0
1,Kontrola kakovosti,Kontrolor kakovosti,1.5,0.14,NNVA,0
1,Ponoven tisk (če napaka),Raziskovalec,0.0,0.0,NVA,0
1,Označevanje in vpis v dokumentacijo,Raziskovalec,0.04,0.04,NVA,1
2,Priprava 3D modela implantata,Raziskovalec,1.21,0.0,VA,0
2,Pošiljanje modela v pregled,Raziskovalec,0.0,0.0,NVA,0
2,Čakanje na odobritev,Vodja laboratorija,0.02,1.86,NVA,0
2,Priprava tiskalnika in materiala,Raziskovalec,0.2,0.07,VA,0
2,Čakanje na prost tiskalnik,Raziskovalec,0.06,1.15,NVA,0
2,3D tisk,Raziskovalec / tiskalnik,2.01,0.0,VA,0
2,Hlajenje modela,—,0.0,0.5,NNVA,0
2,Odstranjevanje podpornih struktur,Raziskovalec,0.32,0.02,VA,0
2,Kontrola kakovosti,Kontrolor kakovosti,0.21,0.24,NNVA,0
2,Ponoven tisk (če napaka),Raziskovalec,0.02,0.0,NVA,0
2,Označevanje in vpis v dokumentacijo,Raziskovalec,0.08,0.07,NVA,0
3,Priprava 3D modela implantata,Raziskovalec,1.09,0.05,VA,0
3,Pošiljanje modela v pregled,Raziskovalec,0.0,0.0,NVA,0
3,Čakanje na odobritev,Vodja laboratorija,0.0,3.91,NVA,0
3,Priprava tiskalnika in materiala,Raziskovalec,0.29,0.02,VA,0
3,Čakanje na prost tiskalnik,Raziskovalec,0.0,0.81,NVA,0
3,3D tisk,Raziskovalec / tiskalnik,0.5,0.01,VA,0
3,Hlajenje modela,—,0.03,0.57,NNVA,0
3,Odstranjevanje podpornih struktur,Raziskovalec,0.38,0.0,VA,0
3,Kontrola kakovosti,Kontrolor kakovosti,0.19,0.23,NNVA,0
3,Ponoven tisk (če napaka),Raziskovalec,0.01,0.01,NVA,0
3,Označevanje in vpis v dokumentacijo,Raziskovalec,0.03,0.01,NVA,0
